1,-2,6,-2,-2,-2,2,2,2,0,-2,2,-6,0,2,2,-2,6,2,0,0,6,0,0,2,0,-2,0,2,-2,0,2,6,-2,6,4,0,0,0,-2,0,6,4,2,-2,-2,4,2,-6,4,-6
10,6,-2,0,-8,0,2,-2,-4,-2,0,-4,-6,-6,4,-4,-2,-2,0,-2,-6,2,0,0,-2,6,4,-2,2,2,-2,-2,-2,-6,-2,-4,2,-2,0,6,4,-4,0,0,0,2,4,0,4,0,4
20,-4,4,-6,-2,-2,-4,2,8,10,2,-10,-2,10,10,10,-4,-10,-8,-4,0,-2,10,-10,4,-8,-10,2,-10,-4,-6,0,8,10,2,2,-10,2,-2,-2,0,4,10,10,10,10,-10,-6,0,-10,-10
30,-2,6,-6,10,-2,2,-10,-6,-6,-8,-10,10,-10,-4,10,10,4,10,2,-10,10,10,-10,10,10,2,-4,-4,10,-6,10,-8,-10,10,-10,8,10,-6,10,10,4,6,-10,2,-8,-4,10,10,8,10
40,-10,10,10,10,10,-6,-10,10,0,10,10,-10,10,10,10,10,10,10,-2,-10,-4,4,10,10,6,-10,0,10,10,10,-10,10,-10,-10,-10,-10,-4,4,-10,-10,10,8,6,10,10,-10,10,10,10,4
50,-4,-10,10,10,-10,10,2,10,-2,10,-10,10,-10,10,10,-10,10,10,-10,10,10,10,10,-10,10,10,10,10,10,10,10,10,-10,10,-8,-10,-6,10,10,10,-6,10,10,0,-10,10,-6,10,10,-10
60,10,10,10,-10,10,10,10,-10,-6,10,10,-10,-10,10,6,10,10,-10,10,10,-10,10,10,10,10,10,10,10,-10,10,10,10,-10,10,-10,-10,10,10,10,10,10,2,-10,10,-6,10,-10,10,10,10
70,-10,10,-10,10,-10,-10,6,10,-10,10,-6,-6,10,10,-10,-10,6,-10,6,10,-6,10,-10,-10,10,10,-10,10,-10,-10,10,-10,-10,10,-10,-6,10,-10,-6,-10,10,10,-10,-10,-10,10,10,-2,-6,10
80,10,-6,-10,-10,10,-10,-10,-10,10,10,-10,10,-10,10,10,-10,10,-6,-10,-6,10,10,10,-10,-10,10,-10,-6,-10,10,10,-10,10,10,-10,-10,-6,-10,10,10,-10,10,10,-6,-10,-10,-10,-10,10,-10
90,10,10,-6,-6,-6,6,10,10,10,-10,10,-10,-6,-6,-10,-6,10,-6,10,-6,10,-10,-6,10,-10,-10,10,10,-6,-6,-6,-6,10,-6,-10,10,10,-6,-6,-6,-6,10,-6,-10,-10,10,10,-6,-6,10
100,10,10,10,10,-10,-10,10,10,-10,10,10,-6,-10,-10,-10,10,-6,10,10,10,10,10,-10,-6,-10,10,-10,-10,10,-10,10,-10,-10,-6,-10,-10,10,10,-10,10,-10,10,10,-10,-10,-10,-10,-10,-10,-6
110,10,-10,-10,10,10,-6,10,10,-10,-10,-10,-10,-6,-10,-10,10,-6,10,-6,10,-6,10,-6,-6,-10,-10,-6,-10,-10,10,10,-6,-10,-6,10,-10,-10,10,10,10,10,10,10,-6,-6,10,-6,10,10,10
120,10,-6,10,-10,10,10,-10,-10,-10,-6,-10,10,10,-6,-10,10,-10,-10,10,-6,-6,10,-10,-6,-10,-10,-10,10,10,10,-10,-6,10,10,10,-10,10,-6,-6,-10,10,-10,-10,10,10,10,10,10,-10,-10
130,-6,10,-10,-10,10,-10,-10,10,-6,-10,10,-10,10,-6,10,-10,-6,10,-10,-10,-6,10,-10,-10,-10,-10,10,-6,10,10,-10,-10,-10,10,-10,-6,10,-10,10,10,10,-10,-6,10,10,-10,10,10,-10,-10
140,-10,-6,-10,10,-10,-6,10,-6,10,10,-6,-10,10,-10,-10,-6,-6,10,-10,10,-10,10,-10,10,-10,10,10,10,10,10,-10,-6,-6,-6,-10,10,-10,-10,-10,-10,10,-10,-10,-10,-10,-10,10,-6,10,-6
150,10,-10,10,10,10,-10,10,10,-6,10,10,10,-6,-10,-6,10,10,10,10,-10,-6,-6,-10,10,10,-6,-10,10,10,10,-6,10,-10,-6,-10,10,-10,-6,10,10,10,-10,10,-10,-6,10,-10,10,-6,10
160,-10,10,-10,-6,-10,10,-10,-10,-10,-10,10,10,10,10,-10,10,10,10,-10,10,-6,10,10,10,-6,10,10,-10,-10,10,-6,-10,10,10,-10,-6,10,-10,-6,-6,10,10,10,-10,-10,10,-10,-10,10,-6
170,-6,-10,10,10,10,10,-6,10,10,10,-6,-10,10,10,-10,-10,-6,-6,10,-10,-10,10,-6,-10,10,-10,10,10,10,10,-10,10,10,10,-10,-10,-10,-6,-10,-6,-10,10,10,-6,-10,10,-10,10,10,10
180,-6,-6,-6,10,10,10,-6,10,-10,-10,-6,10,-6,10,-6,-6,10,10,10,10,-10,10,-6,10,-10,10,10,-10,-6,10,10,10,10,10,10,-6,-10,-6,10,10,10,10,-10,10,10,10,-10,10,10,-10
190,10,10,10,10,10,10,10,-10,10,10,10,10,10,-10,10,10,10,-6,-6,10,10,10,10,-10,10,10,-10,10,-10,-10,10,10,-10,-10,10,10,-10,-10,-10,10,10,-6,10,-10,10,-10,10,10,10,10
200,10,10,-10,-10,-10,10,-10,10,10,10,10,-10,-10,10,10,-10,10,10,-10,10,-10,10,10,10,10,-10,10,-10,-10,-10,-10,-10,-10,10,-6,10,-10,-10,-10,-10,-10,10,-10,10,10,10,10,-10,10,10
